"id","type","category","one_line_summary","depends_on","auth_type","transport","source","tier","license","license_flag","hermes_coupling","portability","suggested_use","rewrite_brief"
"obsidian","skill","note-taking","Enables filesystem-based reading, searching, creating, and editing of notes in a local Obsidian vault using Hermes's native file tools rather than raw shell commands.","OBSIDIAN_VAULT_PATH environment variable (falls back to a default local path), Hermes file tools (read_file, write_file, patch, search_files), terminal tool only as a fallback for path resolution","none","N/A","skills/note-taking/obsidian/SKILL.md","builtin","MIT (repo)","","read_file, write_file, patch, search_files, terminal tool names; ${HERMES_HOME:-~/.hermes}/.env convention for the vault-path variable","MEDIUM","DEFAULT — the vault-file conventions (plain Markdown + wikilinks) are generic; only tool names need remapping for another agent framework.","Use for any request to read, list, search, create, or edit notes in a user's Obsidian vault.; Resolve the vault's absolute filesystem path first, since file tools cannot expand shell variables and vault paths often contain spaces.; Prefer structured file tools over shell equivalents: a file-read tool over cat, a file-search tool over find/grep/ls, a file-write tool over shell heredocs.; For editing, use an anchored patch when there is stable surrounding context and fall back to a full rewrite when a patch would be fragile.; Warns against passing unexpanded environment-variable placeholders directly into file-tool paths, and against defaulting to raw shell text-editing when a targeted patch is safer.; Encourages linking related notes with wikilink syntax when creating new notes."
"airtable","skill","productivity","Lets the agent read, filter, and mutate Airtable bases/tables/records by shelling out to curl against Airtable's REST API with a personal access token.","terminal tool, curl, Airtable REST API, Airtable Personal Access Token (AIRTABLE_API_KEY), python (stdlib json.tool for pretty-print/urlencode), optional jq","API key","N/A","skills/productivity/airtable/SKILL.md","builtin","MIT (repo)","","AIRTABLE_API_KEY auto-loaded into subprocess from Hermes .env, terminal tool","HIGH","DEFAULT — thin, well-documented REST wrapper with simple key-based auth; cheap to reimplement and broadly requested","Use when a user needs to query or update Airtable data rather than just view it in the UI.; Flow: create a scoped personal access token, fetch base/table schema first to learn exact field names before mutating, then use direct REST calls (list/get/filter/create/patch/delete) with the token as a bearer header.; Warns that filter formulas and query params with brackets must be URL-encoded programmatically, that PATCH merges while PUT overwrites, that single-select values need matching existing options, and that tokens are scoped per base (403 often means the base wasn't added to the token's access list).; Verifies success by re-reading the created/updated record or checking HTTP status/error codes, and treats destructive bulk deletes as requiring explicit user confirmation first."
"box","skill","productivity","Guides the agent through connecting a Box account via OAuth and performing cloud file/folder management, sharing, search, metadata extraction, and Box AI operations through the Box CLI.","terminal tool, Box CLI (installed via npm as @box/cli), Box OAuth2 account authorization, Box REST API as a CLI fallback, Box AI features (consumes AI units), optional Box Hubs","OAuth","N/A","skills/productivity/box/SKILL.md","builtin","MIT (repo)","","installs the Box CLI under the Hermes home directory (tools/box-cli), driven entirely through the terminal tool, produces app.box.com links in reports","MEDIUM","OPTIONAL — valuable if a team already uses Box, but the OAuth bootstrap flow and interactive setup choreography are heavier than most connectors.","Use for organizing/sharing/searching Box content, extracting or writing metadata, or building a Box-backed integration; ask upfront whether the user wants ordinary use or a custom app/SDK integration.; Setup: install the Box CLI locally if missing, determine local vs remote browser flow to pick the right login, run OAuth to authorize an account, then verify the authenticated identity before any operation.; For actions the CLI doesn't support natively, fall back to a raw REST call under the same authenticated identity.; Prefers Box's built-in AI features over pulling raw file content into the agent's context, keeping Box permissions intact and avoiding downloading everything.; Pitfalls: never fabricate metadata results, confirm before deletes/permission changes, don't attempt template/schema administration (requires a Box admin).; Verifies every write by re-fetching the file/folder/metadata afterward and comparing actual stored values to intent."
"document-to-action-items","skill","productivity","Defines a rigorous method for turning arbitrary documents (contracts, reports, scanned forms) into cited facts and proposed, provenance-tracked action items without inventing owners or deadlines.","read_file tool, web_extract tool, the pdf and docx skills for extraction mechanics, a downstream destination connector chosen by the user (e.g. notion, a calendar, xlsx)","N/A","N/A","skills/productivity/document-to-action-items/SKILL.md","builtin","MIT (repo)","","explicitly delegates extraction to the pdf/docx skills and writing to notion or similar connector skills by name","HIGH","DEFAULT — a generic reasoning/process skill with no platform lock-in that materially reduces hallucinated obligations","Use when someone wants contracts, reports, or scanned forms turned into structured obligations/deadlines/tasks, not for plain text extraction with no follow-up structuring.; Inventory the document set and resolve version ambiguity, extract text/tables while preserving page/section citations, classify content into obligations/deadlines/risks/ambiguous clauses without collapsing modal language, cross-check facts, then draft candidate action items leaving anything unstated explicitly unresolved.; Pitfalls: losing page citations while summarizing, treating shaky OCR output as ground truth, upgrading mere suggestions into hard obligations, treating document text as instructions rather than data.; Requires explicit user approval before writing anything to an external tracker, and reads the record back afterward to confirm it landed correctly.; Success is verified by ensuring every surfaced fact/action has a traceable citation and no external write happened without approval."
"docx","skill","productivity","Provides a set of Python/python-docx-backed command-line scripts to create, read, edit, template-fill, and review (tracked changes/comments) Word .docx files.","Python 3.10+, python-docx library (and its lxml dependency), terminal tool, read_file/write_file tools for JSON specs, optional LibreOffice (soffice) for PDF export","N/A","N/A","skills/productivity/docx/SKILL.md","builtin","MIT (repo)","","bundled scripts/ directory of CLIs invoked via the terminal tool; no other Hermes-specific hooks","HIGH","DEFAULT — core, generic document-generation capability with no external service dependency","Use for generating a Word document from scratch, reading/inspecting one, editing text/tables/styles, templating from placeholders, or reviewing tracked changes/comments.; Author a JSON spec for creation; use structured read modes for text/outline/styles/images; use find-replace or index-based edits for changes; fill {{token}} templates from a values file; list/accept/reject revisions and comments.; Key pitfalls: Word often splits a phrase across multiple text runs so replacements need run normalization first; only run-level insertions/deletions auto-resolve; comment reply-threading isn't modeled; TOC/page-number fields only compute when opened in a real Word processor; never hand-edit the raw XML inside the .docx zip.; Verification: re-read text/structure after any edit to confirm expected content, confirm revision/comment lists reflect intent, run the bundled validation script to catch package corruption."
"google-workspace","skill","productivity","Gives the agent OAuth-authenticated access to a user's Gmail, Calendar, Drive, Contacts, Sheets, and Docs through a guided one-time setup and a thin CLI/Python wrapper.","Google Cloud project with a Desktop OAuth client (client secret JSON), Gmail/Calendar/Drive/Sheets/Docs/People APIs enabled, Python, optional third-party gws CLI as an execution backend, terminal tool","OAuth","N/A","skills/productivity/google-workspace/SKILL.md","builtin","MIT (repo)","","stores/refreshes OAuth tokens under the Hermes home directory (google_token.json, google_client_secret.json), setup driven by a bundled setup.py script invoked with HERMES_HOME, defers to a sibling himalaya skill for email-only needs","MEDIUM","DEFAULT — extremely commonly requested integration; OAuth bootstrap is Hermes-flavored but underlying Google API usage generalizes to any agent platform.","Use for anything touching Gmail, Calendar, Drive, Contacts, Sheets, or Docs; ask which services are needed first to keep OAuth consent scope minimal.; Setup flow: user creates a Google Cloud OAuth desktop client and enables needed APIs, the agent drives a non-interactive step-by-step exchange so it works over chat-only interfaces.; Commands cover search/read/send/reply/label for Gmail, list/create/delete for Calendar, search/get/upload/download/share/delete for Drive, list for Contacts, create/read/write/append for Sheets and Docs.; Pitfalls: never send mail, mutate calendar events, delete/share Drive files, or edit Docs/Sheets without explicit confirmation of exactly what will change; always specify calendar times with explicit timezone offsets; avoid rapid-fire calls to respect rate limits.; Verification is largely implicit in status/id fields returned by each operation plus a check command to confirm auth health."
"maps","skill","productivity","Adds free, key-less location intelligence — geocoding, reverse geocoding, POI search by category, routing/distance, and timezone lookup — built on public OpenStreetMap-ecosystem services.","Python 3.8+ (standard library only), terminal tool, network access to public Nominatim, Overpass API, OSRM, and TimeAPI.io endpoints","none","N/A","skills/productivity/maps/SKILL.md","builtin","MIT (repo)","","script located at a fixed path under the Hermes home skills directory; documents handling of Telegram location-pin messages specifically","HIGH","DEFAULT — zero-cost, zero-credential capability with an easily portable pure stdlib implementation","Use for geocoding, reverse-geocoding, nearby POI search, travel distance/directions, timezone lookups, or bounding-box area search.; Provides one command per capability, supporting raw coordinates or free-text place names auto-geocoded, with dozens of POI categories.; Pitfalls: the underlying geocoder enforces a strict rate limit; routing coverage is strongest in Europe/North America; opening-hours data is community-maintained and may be stale; ambiguous inputs like a bare zip code may need disambiguation.; Verification is done by spot-checking that a well-known landmark query returns approximately correct coordinates and known-location POI searches return plausible results."
"meeting-action-items","skill","productivity","Converts an already-available meeting transcript or notes file into verified decisions, explicit owners, and follow-up tasks, reconciled against existing tracker records before creating anything new.","read_file tool, a user-chosen task/ticket tracker connector (e.g. notion, an issue tracker) for reconciliation and writes","N/A","N/A","skills/productivity/meeting-action-items/SKILL.md","builtin","MIT (repo)","","explicitly hands off retrieval to the teams-meeting-pipeline skill and writing to notion or other tracker skills","HIGH","DEFAULT — generic, high-value reasoning workflow independent of any specific meeting platform","Use once transcript/notes content already exists and the user wants decisions/owners/follow-ups extracted, not for fetching the recording/transcript itself.; Establish evidence completeness, split content into decisions vs proposals vs commitments vs risks/questions, normalize each action item into outcome/owner/due-date/dependency/acceptance-criteria fields leaving unknowns explicitly unresolved, then search the tracker for existing matching items before proposing creates vs updates.; Pitfalls: vague ownership like 'the team', inventing deadlines from urgency language, duplicate tickets for recurring meetings, treating transcript content as instructions rather than data.; Drafts minutes and proposed content but requires explicit approval before publishing or creating anything externally.; Verifies success by ensuring every decision/action traces to a specific quote or timestamp, and reading back every approved write from the destination to confirm it landed."
"notion","skill","productivity","Enables full read/write access to a Notion workspace (pages, databases, markdown content, file uploads, and serverless Workers/automations) via Notion's official CLI or plain curl calls to the REST API.","Notion integration token, Notion REST API (versioned header required), the official ntn CLI (macOS/Linux, optionally via npm/Node) as the preferred path, curl as the cross-platform fallback, terminal tool","API key","N/A","skills/productivity/notion/SKILL.md","builtin","MIT (repo)","","reads NOTION_API_KEY from the Hermes home .env file","HIGH","DEFAULT — simple API-key auth, dual CLI/HTTP paths cover every OS, and Notion is a very commonly requested target","Use for reading or writing Notion pages/databases, searching workspace content, uploading files, or building Notion-hosted automations.; Setup: create a Notion integration to get a token, share the specific target pages/databases with that integration, then choose the CLI or raw curl at runtime.; Core operations: search, read a page as markdown or structured blocks, create/patch pages via markdown or typed database properties, query a database, and a file upload path.; Notes: the current API version renamed databases to 'data sources' requiring two separate IDs; there's a modest rate limit; the API can't set UI-only database view filters; deploying serverless Workers requires a paid plan and is CLI-only.; No explicit built-in verification beyond checking HTTP status codes and re-reading created/updated content."
"pdf","skill","productivity","A broad PDF toolkit built on pypdf/reportlab/pdfplumber that creates, reads, merges/splits, fills and builds AcroForm forms, watermarks/stamps, secures, and extracts content from PDFs, with OCR and freeform text-editing handled by referenced sub-guides.","Python 3.10+, pypdf, reportlab, pdfplumber, optional pypdfium2 or poppler's pdftoppm for page rendering, optional pymupdf/marker-pdf for OCR, optional external nano-pdf CLI for prompt-driven text editing, terminal tool, vision_analyze tool","N/A","N/A","skills/productivity/pdf/SKILL.md","builtin","MIT (repo)","","bundled scripts/ CLI suite plus two Hermes-authored reference docs for OCR and prompt-based text editing; uses the vision_analyze tool for visual checks","HIGH","DEFAULT — core document capability with wide applicability and mature, well-documented tooling","Use for generating reports/invoices as PDF, building or filling fillable forms, extracting text/tables/metadata, or manipulating existing PDFs; route scanned/image-only PDFs to the OCR sub-guide instead.; Always inspect a PDF's metadata first (encryption, scanned/image-only pages) before doing anything else; author JSON specs for creation and forms; use dedicated scripts for extraction, merging/splitting, watermarking/stamping, filling forms, and encryption.; Key pitfalls: empty extracted text on a scanned PDF means no real text layer; form-flattening can misrender exotic widgets; viewers only show filled values correctly once appearance streams exist; owner-password permission flags aren't real security; page indexing conventions differ between wrapper scripts and the underlying library.; Verification: re-read metadata/text/fields after every mutation, use a rendered PNG plus visual review for appearance-sensitive changes, confirm encryption actually gates access."
"powerpoint","skill","productivity","Creates, inspects, edits, and renders PowerPoint .pptx decks with python-pptx-based scripts, including brand-template filling and chart data updates, entirely offline.","Python 3.10+, python-pptx library, optional LibreOffice (soffice) plus poppler (pdftoppm/pdftocairo) for rendering slides or exporting PDF, terminal tool, vision_analyze tool","N/A","N/A","skills/productivity/powerpoint/SKILL.md","builtin","MIT (repo)","","bundled scripts/ CLI suite; uses vision_analyze for rendered-slide review","HIGH","DEFAULT — common request, self-contained, no external service dependency","Use for building a deck from scratch, extracting content from an existing deck, editing an existing deck in place, or producing an on-brand deck from a company template.; Author a JSON spec per slide for creation; use structured read modes for inspection; combine multiple edit operations in one pass for existing decks; fill {{token}} placeholders in a brand template; render to PNG per slide for visual QA.; Pitfalls: text fragments into multiple runs needing run-merging first; slides with charts can't be duplicated because each chart embeds its own spreadsheet; chart edits limited to whole-dataset replace (no changing chart type); slide reordering/removal requires low-level XML manipulation; copying slides only works within the same deck.; Verification: re-read outline/text/tables/notes/charts after every change, confirm embedded images via file-size checks, render every slide for visual review, treat a bundled automated test suite as the definitive contract check."
"product-price-monitor","skill","productivity","Sets up and executes a recurring, deduplicated price/availability watch for one specific purchasable item (product, flight, hotel room), alerting only on genuine qualifying changes.","web_extract or browser_navigate tools for fetching live prices, a scheduling/cron automation primitive, local state-file storage, a notification delivery channel","N/A","N/A","skills/productivity/product-price-monitor/SKILL.md","builtin","MIT (repo)","","relies on a cronjob automation tool call to schedule recurring ticks, stores watch state under a Hermes-home price-watches directory, references a price-watch automation blueprint","MEDIUM","OPTIONAL — genuinely useful pattern but requires a working scheduling/automation subsystem and careful state management.","Use when a user wants to be alerted on a price drop or availability change for one specific concrete item, not for a one-off price lookup.; Setup: pin down the exact item/variant/dates/quantity, define the precise alert condition, do one live fetch to establish a baseline before scheduling, persist a watch-contract state file, then register a recurring scheduled job.; Each tick: re-fetch and normalize the price, compare against stored baseline and previous alert fingerprint to avoid duplicate alerts, only notify on a real qualifying change.; Pitfalls: comparing incompatible price bases, misidentifying the exact variant/seller/dates, polling too aggressively risking blocks, scheduling before a single successful foreground fetch.; Verifies success by confirming deterministic replay of alert decisions from stored state and that failed fetches never corrupt the last-known-good record."
"teams-meeting-pipeline","skill","productivity","Operates, troubleshoots, and configures an end-to-end Microsoft Teams meeting summarization pipeline (transcripts, action items, Graph webhook subscriptions) entirely through a dedicated Hermes CLI subcommand.","hermes CLI binary, Microsoft Graph API, an Azure AD app registration with admin-consented application permissions (tenant ID/client ID/client secret), a Graph webhook subscription and public notification endpoint, terminal tool","OAuth","N/A","skills/productivity/teams-meeting-pipeline/SKILL.md","builtin","MIT (repo)","","entirely exposed as hermes teams-pipeline subcommands; requires MSGRAPH_TENANT_ID/CLIENT_ID/CLIENT_SECRET env vars and TEAMS_* config.yaml keys; gated to Teams-gateway and cron sessions via session_platforms restriction; links to Hermes-specific operator docs","LOW","SKIP — an operations runbook wrapped tightly around a bespoke Hermes CLI subcommand and Graph subscription pipeline; reimplementing requires rebuilding the underlying pipeline, not just the skill text.","Use for anything about Teams meeting summaries/transcripts/action items, pipeline health/status, replaying a failed job, or managing Graph webhook subscriptions.; Diagnostic flow: check pipeline config validity and Graph token health first, list recent jobs, inspect a specific job's detail, replay a stored job to regenerate/redeliver, use a dry-run fetch to resolve a meeting without persisting.; Critical operational gotcha: Graph webhook subscriptions expire after 72 hours and never auto-renew, so notifications silently stop unless a renewal job is scheduled independently.; Other pitfalls: transcripts aren't available for a few minutes after a meeting ends; a working token but failing calls usually means a permission was added without admin consent re-granted; summaries succeeding but never arriving points to a delivery-mode/target mismatch.; Verification is command-driven: successful validate/token-health/subscription checks plus a fresh job appearing in the job list after a real meeting."
"weekly-review-planning","skill","productivity","Runs a structured, bounded weekly review across a user's calendar, task inbox, notes, and outstanding commitments, producing a capacity-aware plan for the next week with approval-gated updates.","a calendar connector (e.g. google-workspace), a notes connector (e.g. notion/obsidian), a task/project tracker, coordination with a separate email-inbox-triage skill for inbox-specific work","N/A","N/A","skills/productivity/weekly-review-planning/SKILL.md","builtin","MIT (repo)","","names several sibling skills by id (obsidian, notion, airtable, google-workspace, email-inbox-triage) and expects a weekly-review automation blueprint to schedule it as a cron job","HIGH","DEFAULT — a generic, high-value planning ritual that composes existing connectors rather than introducing new external dependencies","Use for a recurring 'run my weekly review' request or a scheduled weekly cron tick; not for daily briefings or single-inbox triage, which are separate skills.; Confirm which systems/timezone/review window apply and default to drafts rather than direct mutations; review the past week's calendar for completed commitments and the next 1-2 weeks for deadlines/capacity; process capture inboxes into categorized next-actions; reconcile active projects to ensure each has an owner and next step; surface promises made and items still owed by others; build a capacity-aware plan.; Pitfalls: planning without accounting for real calendar capacity, blindly carrying every unfinished item forward as high priority, marking a project active with no next action, assuming silence means a commitment is done.; Produces a fixed output shape (wins, at-risk items, waiting/follow-ups, stalled projects, next week's plan, pending approvals, coverage gaps) and only applies updates once the user approves.; Verification confirms both the retrospective and forward planning horizon were covered, every flagged item traces to a specific record, and every approved write was read back to confirm it took effect."
"xlsx","skill","productivity","Provides openpyxl-based CLI scripts to build, inspect, edit, and reference-safely restructure Excel .xlsx workbooks (styling, formulas, charts, tables, validation) and convert to/from CSV.","Python 3.10+, openpyxl library, optional LibreOffice (soffice) for headless formula recalculation or PDF/CSV export, terminal tool","N/A","N/A","skills/productivity/xlsx/SKILL.md","builtin","MIT (repo)","","bundled scripts/ CLI suite invoked via the terminal tool; no other Hermes-specific hooks","HIGH","DEFAULT — core, generic spreadsheet capability with no external service dependency","Use for generating styled multi-sheet Excel reports with formulas/charts, inspecting or dumping workbook data, editing cells/rows/columns in an existing file, or converting between CSV and xlsx.; Author a JSON spec for workbook creation; use dedicated read modes for inventory/data dump/formula inspection; use the plain editor for simple edits but switch to the reference-aware restructuring tool whenever inserting/deleting rows or columns in a sheet with formulas, merges, or tables.; Key pitfalls: the library never evaluates formulas itself unless a real spreadsheet app last saved the file or a headless recalculation step ran; the simple editor's insert/delete doesn't shift cell references; sheet 'protection' is cosmetic; reloading in values-only mode and resaving permanently discards formulas; loading and resaving a workbook with charts silently drops them.; Verification: re-read sheet inventory/dimensions/chart counts and dumped data after edits, confirm formulas are recalculated where expected, review the restructuring tool's report, optionally convert to PDF for a full visual check."
"arxiv","skill","research","Searches and retrieves academic papers from arXiv's free REST API and enriches them with citation/impact data from the Semantic Scholar API.","terminal (curl), python3 (stdlib), web_extract; optional Semantic Scholar API key for a higher rate limit","none","N/A","skills/research/arxiv/SKILL.md","builtin","MIT (repo)","","web_extract tool, bundled scripts/search_arxiv.py helper","HIGH","DEFAULT — free, no-auth academic search useful across most research tasks","Use when a user wants to find, browse, or evaluate academic papers by keyword, author, category, or arXiv ID, or wants citation/impact context.; Query arXiv's Atom-XML search endpoint using field-prefixed/boolean query syntax, or fetch specific papers via an ID list; parse XML into readable listings with sort/pagination.; Layer in Semantic Scholar's free API for citation counts, references, related-paper recommendations, and author metrics.; Fetch actual paper content by pointing a page/PDF extraction tool at the abstract or PDF URL rather than hand-parsing PDFs.; Watch for arXiv ID versioning (unversioned links resolve to the latest revision) and withdrawn/retracted papers flagged in the summary field.; Success looks like well-formed structured metadata per paper and a confirmed non-withdrawn status before citing; respect the gentle rate limit."
"competitor-news-monitor","skill","research","Runs a recurring, evidence-cited competitor-intelligence watch that filters raw news into deduplicated, materiality-scored digests on a schedule.","cronjob tool, web_search, web_extract; optional rss-feeds skill, optional blogwatcher skill, optional reddit-reading skill","none","N/A","skills/research/competitor-news-monitor/SKILL.md","builtin","MIT (repo)","","cronjob tool, ~/.hermes/competitor-watches/<slug>.json state-file convention, references to blogwatcher/rss-feeds/reddit-reading sibling skills","MEDIUM","OPTIONAL — niche business use case that needs scheduling infrastructure and multi-step setup","Use for standing 'watch these named companies' requests delivered periodically, not for one-off lookups or plain feed reading.; One-time setup: pin an exact watchlist and materiality bar, enumerate each company's primary sources, persist as a watch-contract state file, register a recurring scheduled job.; Each run: pull new items since the last cutoff with overlap, collapse re-reports of one event into a single item, score materiality against the saved threshold, only advance the cutoff for reachable sources.; Deliver a digest of what changed/why it matters/evidence/confidence, or stay silent when nothing clears the bar.; Pitfalls: don't count syndicated copies as separate events, don't treat job postings alone as proof of strategy, don't silently advance the cutoff past a failed source, don't let the watchlist drift between runs.; Verify by checking each event cites a primary source, appears once, and materiality calls replay consistently against the saved contract."
"grounded-citations","skill","research","Provides a scripted source ledger that forces every fact claim in an answer or document to carry a machine-verified numbered citation, and optionally verbatim evidence, instead of one the model recalls from memory.","python3 (stdlib) sources.py ledger script, web_search, web_extract, browser_navigate, or terminal/curl for retrieval","none","N/A","skills/research/grounded-citations/SKILL.md","builtin","MIT (repo)","","$HERMES_HOME profile-scoped ledger path, HERMES_CITATION_LEDGER env var, web_search/web_extract/browser_navigate/terminal tool names, bundled scripts/sources.py, references sibling skills","MEDIUM","DEFAULT — general-purpose anti-hallucination discipline valuable across most research/writing tasks","Use whenever an answer or deliverable rests on just-retrieved information; skip for incidental lookups or creative writing.; Maintain an external ledger assigning a stable id to each source URL at retrieval time; cite ids inline right after the supported sentence, never inventing a number from memory; mechanically generate the final source list from the ledger.; For high-stakes content, upgrade to an evidence mode: attach exact quoted excerpts, tag model-knowledge claims as unverified, and cite both sources when they disagree.; A verification pass fails the draft if any citation id is unresolved, the source list disagrees with the ledger, coverage is too low, or evidence-mode citations lack supporting quotes.; Pitfalls: registering sources after writing instead of at retrieval time, hand-editing citation numbers, citing a snippet as if the full page were read, over-citing, using the unverified tag as a lazy escape hatch, parallel sub-tasks using separate ledgers (id collisions).; Success is an automated pass confirming citations resolve, the source list matches the ledger, and coverage meets a target ratio."
"llm-wiki","skill","research","Builds and maintains a persistent, cross-linked markdown knowledge base from ingested sources so research compounds over time instead of being re-derived from scratch each query.","file tools (read_file, search_files, execute_code), web_extract; optional Obsidian desktop app or obsidian-headless CLI (Node.js 22+) with an Obsidian Sync subscription","none","N/A","skills/research/llm-wiki/SKILL.md","builtin","MIT (repo)","wraps obsidian-headless (license unclear/non-permissive)","WIKI_PATH env var, read_file/search_files/execute_code tool names, OBSIDIAN_VAULT_PATH env var","MEDIUM","OPTIONAL — powerful for long-term knowledge accumulation but heavier setup/maintenance than most sessions need","Use when a user wants to build, grow, or query a durable knowledge base from ingested sources rather than re-researching each time.; Structure: an immutable raw-sources folder plus an agent-maintained layer of cross-linked entity/concept/comparison/query pages, a schema file defining conventions and a controlled tag taxonomy, an index, and an append-only activity log; always re-orient by reading schema+index+log before any operation to avoid duplicates or drift.; Ingesting a source: save raw material with provenance, create/update pages only once a topic clears a notability bar, keep required cross-links, tag from the approved taxonomy, mark confidence when evidence is thin, update the index and log.; Answering a question: consult the index (plus full-text search for large wikis) and synthesize from what's compiled, optionally filing a new synthesis back into the wiki.; A periodic audit checks for orphaned/dead-linked pages, missing index entries, incomplete metadata, stale/contradicted content, and oversized pages needing a split.; Pitfalls: never edit the immutable raw folder, never skip reorientation, don't create pages for passing mentions, don't invent tags outside the taxonomy, never silently overwrite conflicting facts."
"xurl","skill","social-media","Wraps the official X (Twitter) developer CLI to post, search, engage, DM, and manage media and social-graph actions via the X API v2, with strict rules against leaking credentials into the model's context.","xurl CLI (external, must be pre-installed), X Developer Platform app credentials (Client ID/Secret), OAuth 2.0 PKCE user authentication, ~/.xurl credential file, paid X API access/credits for meaningful usage","OAuth","N/A","skills/social-media/xurl/SKILL.md","builtin","MIT (repo)","","Hermes-subprocess HOME convention for Docker deployments (~/.xurl resolving under /opt/data/home rather than HERMES_HOME) that must be matched when the user runs setup","MEDIUM","OPTIONAL — valuable only for teams automating X/Twitter, requires an external CLI, paid API access, and manual OAuth setup","Use for any X/Twitter action beyond passive reading — posting, live post search, follow/block/mute, DMs, media upload, or raw endpoint calls.; The agent shells out to a pre-installed, pre-authenticated official CLI wrapping OAuth-2-PKCE-based access; credential registration and login must be done by the human outside the agent session, and the agent only ever checks auth status, never reads or forwards the token file.; Core actions map to CLI subcommands plus a raw pass-through mode for any endpoint without a shortcut; every response is JSON.; Hard safety rules: never surface the credentials file to the model, never pass secrets as inline flags, never use verbose/debug output that could leak auth headers, never claim a write succeeded except on the CLI's own confirmation.; Pitfalls: authorizing a token without binding it to the named app profile silently falls back to an empty default profile and every call fails; many apparent failures are actually billing/plan/API-tier issues; per-endpoint rate limits are tighter on writes.; Verify by checking auth status first, starting with a cheap read call, and confirming any write only via the command's own JSON response."
"blocked-page-recovery","skill","web","Provides a cost-ordered fallback ladder (web archives, an optional reader-render API, API/RSS endpoint pivoting, then a real browser) for retrieving content when a direct page fetch is blocked, while rejecting deceptive fake-success responses.","terminal (curl), bundled scripts/recover_page.py (python3); optional JINA_API_KEY; browser tool as last-resort fallback","none","N/A","skills/web/blocked-page-recovery/SKILL.md","builtin","MIT (repo)","","browser tool fallback, ~/.hermes/cache/scratch/ path convention, JINA_API_KEY env var, bundled scripts/recover_page.py","HIGH","DEFAULT — broadly applicable resilience for any web-fetching workflow","Use the moment a direct fetch is denied instead of retrying the same URL repeatedly.; Work down a fallback ladder cheapest-first: check a web archive's availability/index API; rotate across a paywall-archive service's mirror domains; optionally call a server-side reader/render API when a key is configured; look for an unblocked JSON/GraphQL/RSS/sitemap endpoint on the same host; only drive a real browser as the last resort.; Always preserve and disclose provenance: label archive-sourced copies with their snapshot date and flag them as potentially stale.; Key pitfall: several fallback routes return a deceptive HTTP 200 with plausible-looking but wrong content — validate actual body content against expected markers, not just status code or size.; Avoid generic public web-proxy relays entirely — they intercept traffic, are unsafe for cookies/auth headers, and their copies carry no verifiable timestamp.; Verify success by matching recovered content against expected text/title markers and screening out known fake-success signatures before treating a route as a hit."
"codebase-inspection","skill","software-development","Runs the pygount CLI over a repository to report lines-of-code, per-language breakdowns, file counts, and code-vs-comment ratios.","pygount (pip package/CLI), terminal, Python/pip","none","N/A","skills/software-development/codebase-inspection/SKILL.md","builtin","MIT (repo)","","","HIGH","DEFAULT — generic, low-footprint repo-metrics utility usable on any codebase/platform.","Trigger on requests for LOC counts, language mix, comment ratios, or general 'how big is this repo' questions.; Install pygount, then run it against the repo root with dependency/build folders explicitly excluded.; Offer summary-table, per-file, JSON, and language-filtered output modes depending on what's asked.; Warn that omitting exclusions causes very slow/hanging scans, that Markdown is counted entirely as comments, and that JSON files may undercount lines (use a raw line-count tool instead).; Explain how to read output columns and special buckets (empty/binary/generated/duplicate/unknown files).; Success = a completed summary table with plausible per-language counts and no runaway scan time."
"dogfood","skill","software-development","Directs systematic, evidence-gathering exploratory QA of a web app via browser automation, ending in a structured bug report.","browser automation toolset (navigate/snapshot/click/type/scroll/back/press/console/vision-style tools)","none","N/A","skills/software-development/dogfood/SKILL.md","builtin","MIT (repo)","","Hermes browser_navigate/browser_snapshot/browser_click/browser_type/browser_vision/browser_console/browser_scroll/browser_back/browser_press tool names, bundled report template and issue-taxonomy reference files","MEDIUM","DEFAULT — broadly useful QA workflow, just needs the browser tool names remapped to another platform's equivalents.","Use for open-ended exploratory QA of a live web app given a target URL and scope, producing a written, evidence-backed bug report.; Plan a lightweight sitemap of pages/flows, then for each one navigate, capture DOM/visual state, and exercise interactive elements including invalid inputs, empty submissions, and edge-case interactions.; Check the browser console for JS errors after every navigation and significant interaction — silent errors are especially high-value findings.; For every issue, capture a screenshot plus URL, repro steps, expected vs actual behavior, and console output, then classify by severity/category and de-duplicate.; Assemble a final report with an executive summary, per-issue detail sections, and a summary table.; Verification is implicit: completeness against the planned sitemap and having concrete evidence attached to every reported issue."
